idx,srcType,factoryName,area1,area2,area3,address,Latitude,Longitude,Product,yearPermitted,yearClosed,Remarks
1197,repa,진해중공업,경남,창원,진해,경남 창원시 진해구 대죽동 2,35.1381154,128.6728009,,0,0,
1198,repa,태일정공,경남,창원,진해,경남 창원시 진해구 명동 575-1 오리엔탈정공내,35.1015191,128.7159927,,0,0,
1199,repa,부영개발,경남,통영,광도,경남 통영시 광도면 황리 836-1,34.9579414,128.4177346,,0,0,
1200,repa,부원이엔지,경남,통영,광도,경남 통영시 광도면 황리 1609-2,34.9560717,128.4248693,,0,0,
1201,repa,한성FRP조선소,경남,통영,광도,경남 통영시 광도면 덕포리 404-2,34.9164152,128.4249264,,0,0,
1202,repa,월드이엔지,경남,통영,도남,경남 통영시 도남동 205-1,34.8285896,128.4316174,,0,0,
1203,repa,선우조선,경남,통영,미수,경남 통영시 미수1동 855,34.85439,128.433112,,0,0,
1204,repa,21세기,경남,통영,봉평,경남 통영시 봉평동 13-1,34.8325428,128.4220996,,0,0,
1205,repa,경남조선소,경남,통영,봉평,경남 통영시 봉평동 13-1,34.8325428,128.4220996,,0,0,
1206,repa,동원조선소,경남,통영,봉평,경남 통영시 봉평동 13-1,34.8325428,128.4220996,,0,0,
1207,repa,삼양조선소,경남,통영,봉평,경남 통영시 봉평동 13-1,34.8325428,128.4220996,,0,0,
1208,repa,송오조선소,경남,통영,봉평,경남 통영시 봉평동 27-5,34.8342318,128.4178291,,0,0,
1209,repa,삼덕조선소,경남,통영,산양,경남 통영시 산양읍 삼덕리 500,34.7983878,128.3834119,,0,0,
1210,repa,함안중공업,경남,함안,군북,경남 함안군 군북면 소포리 35-2,35.2777028,128.3605762,,0,0,
1211,repa,유일,경남,함안,산인,경남 함안군 산인면 신산리 662-1,35.2662796,128.479016,,0,0,
1212,repa,동성조선,경북,포항,남구,경북 포항시 남구 송도동 253-2,36.0441702,129.3735376,,0,0,
1213,repa,신아선기,경북,포항,남구,경북 포항시 남구 송도동?253-72,36.0083432,129.3593368,,0,0,
1214,repa,씨그린선박설비,경북,포항,남구,경북 포항시 남구 청림동?1-62,36.0083432,129.3593368,,0,0,
1215,repa,한동조선,경북,포항,남구,경북 포항시 남구 송도동 253-1,36.0451824,129.3737305,,0,0,
1216,repa,한일뉴즈,경북,포항,남구,경북 포항시 남구 동해면 상정리 72번지,35.9836333,129.5017451,,0,0,
1217,repa,해주선박공업사,경북,포항,북구,경북 포항시 북구 동빈동2가?120-4번지,36.041867,129.365688,,0,0,
1218,repa,대성공업사,부산,강서,대저,부산시 강서구 대저2동?1260-2,35.2122179,128.98045,,0,0,
1219,repa,원진조선,부산,강서,명지,부산 강서구 명지동 1457-8,35.1047523,128.9299616,,0,0,
1220,repa,케이티엠프로덕트,부산,강서,명지,부산 강서구 명지동 3178-7,35.1149924,128.9255509,,0,0,
1221,repa,㈜DSEC,부산,강서,성북,부산강서구성북동1490 ,35.0846984,128.8319214,,0,0,
1222,repa,(주)동화엔텍,부산,강서,송정,부산 강서구 송정동?1575-6,35.2122179,128.98045,,0,0,
1223,repa,(주)마린테크니칼엔지니어링,부산,강서,송정,부산 강서구 송정동?1565-9,35.2122179,128.98045,,0,0,
1224,repa,광동FRP산업,부산,강서,송정,부산 강서구 송정동 1460-4, 녹산공단 2B-2L,35.0997073,128.8260888,,0,0,
1225,repa,반도마린,부산,강서,송정,부산 강서구 송정동 1762-9,35.0838914,128.8516853,,0,0,
1226,repa,부산카플링,부산,강서,송정,부산 강서구 송정동 1753-1,35.0929717,128.8273529,,0,0,
1227,repa,유니콜,부산,강서,송정,부산 강서구 송정동 1724-14,35.0847997,128.8478271,,0,0,
1228,repa,해동비철금속(주),부산,강서,송정,부산 강서구 송정동 1760-8,35.0838628,128.8452156,,0,0,
1229,repa,현대삼호중공업,부산,강서,송정,부산 강서구 송정동 1540-2,35.0990685,128.8408103,,0,0,
1230,repa,화진기업,부산,강서,송정,부산시 강서구 송정동?1573-10,35.2122179,128.98045,,0,0,
1231,repa,광산,부산,강서,지사,부산광역시 강서구 지사동 1173-2,35.148775,128.8123177,,0,0,
1232,repa,윌헴슨쉽스서비스,부산,기장,정관,부산 기장군 정관면 달산리?44-27 번지,35.325545,129.1803123,,0,0,
1233,repa,(주)비전테크닉스,부산,남구,대연,부산시 남구 대연동 965-10?,35.1271697,129.0923701,,0,0,
1234,repa,DDS,부산,남구,용호,부산 남구 용호동?423-2(1층),35.136649,129.084175,,0,0,
1235,repa,(주)글로발코리아,부산,동구,초량,부산시 동구 초량동?1147-14(국제..,35.1292469,129.045431,,0,0,
1236,repa,(주)두남,부산,동구,초량,부산 동구 초량3동 1196-5,35.1170646,129.042392,,0,0,
1237,repa,(주)리인터내셔날,부산,동구,초량,부산시 동구 초량동?1212-22(대창..,35.1292469,129.045431,,0,0,
1238,repa,(주)에리단쉬핑,부산,동구,초량,부산 동구 초량동?1056-2 한국전..,35.1292469,129.045431,,0,0,
1239,repa,(주)트랜스마린,부산,동구,초량,부산시 동구 초량동?1212-11(해덕..,35.1292469,129.045431,,0,0,
1240,repa,ECIS Co.,LTD,부산,동구,초량,부산 동구 초량동?1203-2 중후제..,35.1292469,129.045431,,0,0,
1241,repa,JAEUN,부산,동구,초량,부산시 동구 초량동 ?1053-3 남도빌..,35.113957,129.03695,,0,0,
1242,repa,네오텍,부산,동구,초량,부산 동구 초량3동?11194-10 대..,35.1292469,129.045431,,0,0,
1243,repa,동주선박(주),부산,동구,초량,부산시 동구 초량동?1213-8(삼성빌..,35.1292469,129.045431,,0,0,
1244,repa,마리테크(주),부산,동구,초량,부산 동구 초량동 1203-10?오피스텔 프레지던트..,35.1130456,129.0404836,,0,0,
1245,repa,마스텍중공업,부산,동구,초량,부산동구초량3동1159-10 ,35.1228694,129.0447322,,0,0,
1246,repa,이시스,부산,동구,초량,부산 동구 초량1동?11,35.1292469,129.045431,,0,0,
1247,repa,이씨스,부산,동구,초량,부산 동구 초량2동?111,35.1292469,129.045431,,0,0,
1248,repa,㈜토스코,부산,동구,초량,부산 동구 초량3동?1200-1 동남빌..,35.1292469,129.045431,,0,0,
1249,repa,테스트,부산,동구,초량,부산 동구 초량1동?111-99,35.1292469,129.045431,,0,0,
1250,repa,(주)아이씨에스시스템,부산,부산,부암,부산 부산진구 부암동?297-1,35.162874,129.053137,,0,0,
1251,repa,동화전기공업(주),부산,북구,구포,부산시 북구 구포2동?1121-2,35.197185,128.990438,,0,0,
1252,repa,대일중전기,부산,사상,감전,부산 사상구 감전동?551-25,35.152624,128.99125,,0,0,
